Ano_Mes,Date,Month_English,Quarter Name,Quarter_English,Semester Name,Semester_English
2016/fev,2016-02-21 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-22 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-23 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-24 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-25 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-26 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-27 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-28 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-29 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-01 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-02 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-03 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-04 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-05 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-06 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-07 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-08 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-09 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-10 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-11 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-12 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-13 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-14 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-15 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-16 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-17 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-18 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-19 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-20 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-21 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-22 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-23 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-24 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-25 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-26 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-27 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-28 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-29 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-30 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jan,2016-01-31 00:00:00,January,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/jul,2016-07-01 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-02 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-03 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-04 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-05 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-06 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-07 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-08 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-09 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-10 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-11 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-12 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-13 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-14 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-15 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-16 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
